date,open,high,low,close,volume
2026-05-11T16:00:00-04:00,81964.02,82068.63,81748.99,81791.83,995632546463.0
2026-05-11T15:00:00-04:00,81864.54,82082.12,81722.14,81955.03,611857534976.0
2026-05-11T14:00:00-04:00,81913.02,82131.17,81833.99,81840.3,529303867392.0
2026-05-11T13:00:00-04:00,81579.72,82038.14,81348.85,81931.6,636347748352.0
2026-05-11T12:00:00-04:00,81428.8,81899.37,81319.93,81551.99,477851975295.0
2026-05-11T11:00:00-04:00,80921.78,81428.3,80791.93,81422.95,768173363200.0
2026-05-11T10:00:00-04:00,81029.01,81222.18,80453.94,80912.97,463755091968.0
2026-05-11T09:00:00-04:00,81036.0,81241.07,81028.26,81241.07,254080661.78287652
2026-05-11T08:00:00-04:00,81187.5,81347.66,81002.03,81035.67,1235220480.0
2026-05-11T07:00:00-04:00,80927.28,81186.04,80888.88,81186.04,330258085.3696353
2026-05-11T06:00:00-04:00,80944.65,81191.87,80916.16,80927.28,531736951.3321406
2026-05-11T05:00:00-04:00,80743.44,80987.63,80733.53,80944.65,1009555312.5185455
2026-05-11T04:00:00-04:00,80722.18,80849.39,80595.35,80743.44,612956729.4481344
2026-05-11T03:00:00-04:00,80814.09,80820.0,80650.02,80722.19,624146427.507571
2026-05-11T02:00:00-04:00,80810.0,81030.0,80743.5,80814.08,643489989.7603326
2026-05-11T01:00:00-04:00,80798.0,80959.06,80734.23,80809.99,451925095.46144223
2026-05-11T00:00:00-04:00,80717.0,80865.0,80619.84,80798.01,395752741.067635
2026-05-10T23:00:00-04:00,81161.32,81171.98,80504.01,80717.0,1267402842.0848992
2026-05-10T22:00:00-04:00,81487.11,81550.0,81093.01,81161.46,606186312.3437274
2026-05-10T21:00:00-04:00,81448.03,81727.52,81268.78,81487.11,1384873746.7521093
2026-05-10T20:00:00-04:00,82199.99,82379.0,81257.96,81448.03,2121962244.201234
2026-05-10T19:00:00-04:00,82040.32,82450.0,82034.54,82199.99,1616095582.4892104
2026-05-10T18:00:00-04:00,80702.6,82153.95,80661.99,82042.44,2991888057.237611
2026-05-10T17:00:00-04:00,80723.5,80937.53,80571.68,80702.61,1390294221.1795766
2026-05-10T16:00:00-04:00,81425.14,81449.21,80273.86,80724.73,1870563070.0507736
2026-05-10T15:00:00-04:00,81268.55,81476.99,81140.58,81425.13,368632171.13777554
2026-05-10T14:00:00-04:00,81471.67,81491.94,81210.87,81268.56,629933184.6014173
2026-05-10T13:00:00-04:00,81357.27,81567.99,81204.0,81471.42,478771227.12195957
2026-05-10T12:00:00-04:00,81408.11,81489.26,81175.68,81357.27,608789012.805302
2026-05-10T11:00:00-04:00,80994.02,81437.77,80922.14,81408.11,718657703.065268
2026-05-10T10:00:00-04:00,80962.34,80994.01,80800.0,80994.01,231571557.87645084
2026-05-10T09:00:00-04:00,80921.95,80998.99,80853.49,80962.33,66389438.40724051
2026-05-10T08:00:00-04:00,80790.0,80943.09,80761.32,80924.01,62436436.61553902
2026-05-10T07:00:00-04:00,80849.58,80959.04,80727.51,80794.0,351968683.462136
2026-05-10T06:00:00-04:00,80794.02,80874.72,80676.0,80848.06,352988460.01854014
2026-05-10T05:00:00-04:00,80821.47,80899.76,80734.23,80794.02,96148355.78486967
2026-05-10T04:00:00-04:00,80725.84,80891.98,80704.81,80818.99,147736360.90356907
2026-05-10T03:00:00-04:00,80724.06,80798.12,80711.09,80725.85,100844711.1070681
2026-05-10T02:00:00-04:00,80679.99,80751.78,80619.59,80724.06,44027496.76330819
2026-05-10T01:00:00-04:00,80746.26,80802.0,80666.0,80679.99,185225075.65095294
2026-05-10T00:00:00-04:00,80752.23,80836.0,80714.0,80747.09,55217474.15989412
2026-05-09T23:00:00-04:00,80767.32,80876.05,80692.09,80752.23,44108504.888839744
2026-05-09T22:00:00-04:00,80664.01,80777.54,80586.73,80767.32,98638279.82787141
2026-05-09T21:00:00-04:00,80664.0,80675.22,80552.73,80664.0,120055092.22256905
2026-05-09T20:00:00-04:00,80655.97,80758.3,80607.8,80663.99,177174833.55364415
2026-05-09T19:00:00-04:00,80757.0,80832.67,80603.22,80655.96,104911567.68383053
2026-05-09T18:00:00-04:00,80767.34,80812.48,80661.0,80756.99,140630977.4529305
2026-05-09T17:00:00-04:00,80797.43,80887.72,80732.0,80767.34,18840335.60781052
2026-05-09T16:00:00-04:00,80939.01,80939.02,80730.0,80797.42,224939800.8438635
2026-05-09T15:00:00-04:00,80898.73,80955.0,80769.0,80939.02,454278150.3959048
2026-05-09T14:00:00-04:00,80795.4,81065.32,80773.56,80898.41,336119310.6469806
